source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity
5863637790879477504,196.61064538938498,-61.179529023573465,41.25985240875699,1.7661469675171215,-71.4214001819478,-15.48321654851181,20.088228,20.142038,17.989117,
2964203466393004928,86.2372271318387,-21.614032939280303,41.263055601641746,0.2722366334038681,-91.52488492720454,338.5804321886624,11.2562895,12.572189,10.143317,
3608139353206904192,202.3508478047065,-14.37026746004395,41.26376600987665,0.05799541542380547,108.5794625095002,-41.63745103336025,11.871242,13.338241,10.703097,
6739809744861879040,295.85374224152287,-37.3705104884021,41.263988676863285,0.06481223641700426,162.88514665215467,-183.22993624133437,12.2662735,13.892616,11.017099,
577355999582711168,136.250397314366,2.437248292779899,41.27181324262864,0.7064755173527038,-194.592231532377,16.53297379625714,12.451093,14.014864,11.240794,
4062658807200355456,269.19156819345636,-28.20418371018565,41.271896303931605,1.255720645538887,-23.812233741064578,12.906039109017662,18.704836,18.991955,16.501163,
830705262697930240,158.62313611532525,46.302004573859776,41.27396912952511,0.056186088531396526,-412.26660657110915,-102.54009159349559,11.978046,13.413958,10.817079,
4146119638092044544,272.7916728695519,-14.654866981607654,41.27424929588496,2.087235399041733,-28.5753332608084,17.69589451088717,20.00792,21.23919,18.287872,
6690155009477092224,298.2584517094145,-41.03841201068845,41.27575602774546,0.08939467674618191,-45.75100853577926,20.52513014719823,14.976911,17.163162,13.610581,
1219843215409537024,237.33492040847713,25.063420510843613,41.28304492004463,0.06060488195779279,-34.235925101115875,389.25031305961755,11.362949,12.604466,10.307422,6.522721419158025
416158523985440896,8.979176427753705,52.69271826694043,41.283257653434,0.07841393848095245,773.6204874912145,-185.52551320729458,13.682707,15.385908,12.425518,
1427329718223532800,253.410165850007,56.05799450487953,41.29026379181603,0.04707393425290432,-388.14193424777733,102.82868232801498,12.753204,14.3049,11.54859,
1552064914348839936,204.95459934591875,46.96924228782788,41.29083825997456,0.08632708949395633,-824.0268306418209,49.483923995569974,15.082275,17.294258,13.705258,
2419457405433453696,359.04005691092664,-13.97128086775712,41.29089027459684,0.09774956891071639,324.0227418040126,62.327750654032826,14.370269,16.207018,13.08247,
6478007127114271104,315.84224327141214,-50.38288733040723,41.295141453769,0.11180245786087951,295.9967391315571,-386.2820254414528,11.872649,13.36354,10.691508,
1830210363709831808,303.99512961081115,22.741530333382542,41.30031732631938,2.3668392001422838,4.468189943422044,3.7790844151810288,20.113527,21.268394,18.54174,
3836540220745072384,152.1854950143629,2.7305068192388395,41.300877924221204,0.07045971105145599,-82.34580896964012,-449.1520614383739,11.240705,12.579617,10.12827,
64989250397297280,56.99489697579758,23.48395672885455,41.31217135309483,0.10302042168379034,-62.24336603169832,-131.29834834321534,14.684775,16.701403,13.351362,
4997505546262260096,7.833388315804583,-38.67682524310395,41.31440030052828,0.6863749566583187,558.0915737710559,-31.918624658498146,19.07015,21.181606,17.39678,
3363902571884367232,110.46342959954397,21.247824356923587,41.33226551010326,0.07764759746464073,43.840189800024866,-138.96479853266482,13.655552,15.432711,12.377983,
2192213022271586560,316.9720073827526,59.71416224926693,41.34213545107836,0.02272182452403884,-1032.6951450321421,-1829.033875869635,12.428691,13.486548,11.42001,-266.1821392864734
4976609705736840960,1.3531001590518306,-50.04809786875127,41.34792115227805,0.04490099122475925,-155.9143152358762,-11.356830455552458,11.008185,12.230141,9.9582405,7.653465916446298
6812057416969617280,328.29834396121686,-25.99963242481368,41.34885925609957,0.07542590293861452,-343.31554883760805,-113.46459617772555,14.893049,17.027363,13.534402,
2274125710821568768,319.43113823449613,73.76756209449354,41.35416659760813,0.07191625281449256,486.1457891672601,553.3306082137394,15.310692,17.681301,13.904715,
6358287868675805824,327.5808368573527,-75.34482002123163,41.35934578061819,0.2799306886447581,888.6273742176618,-298.2337010857986,18.911009,21.44622,17.303053,
4062692376557592192,269.69617970860617,-28.292288692746556,41.36934629854903,1.1613912679181113,-19.754439453579447,18.079539751654515,18.835913,18.942091,16.614716,
5103275609917675904,49.327550139990144,-19.67255689475868,41.376503914822386,0.07411255019554813,515.8596335278163,-219.68721783360422,14.074771,15.919746,12.78213,
1185087343615401600,223.32333822119028,13.781705688159773,41.37808625684719,0.30189260693363607,-180.76994750179153,-131.64556377963353,14.956293,16.572786,13.711173,
1513479649714919936,191.71102489034578,31.803167541059313,41.383211624810116,0.15138115355743356,-796.6849403148135,32.4930007784406,16.225409,19.10053,14.7268505,
2298750888633275136,317.6738544787283,82.71553951428179,41.3834313676999,0.05810155723199352,194.97336942907162,436.0059395546412,14.2573595,16.258326,12.923997,
