#ra	dec	p	perr	pra	praerr	pdec	pdecerr	rv	rverr	G	Gerr	B	Berr	R	Rerr	V	Verr	spt	spterr	binaryflag	d	dm	dp
132.612838292288	-54.1316421931005	2.8456	0.0237	-13.069	0.048	9.988	0.051	18.74	1.24	10.546618	0.0018376686809442283	10.713498	0.0015179248934905627	10.281839	0.001965412821017273	10.50055400749	0.0014809519169855356	nan	nan	nan	347.92257030926	2.8677817411389697	2.9149858872750087
132.84101228786702	-54.1050696806422	2.8151	0.0692	-12.796	0.128	9.919	0.153	nan	nan	16.695831	0.002206971771332486	18.045935	0.012127135611608117	15.548621	0.003985476769995575	17.78157685454	0.011825707270941545	nan	nan	nan	351.990153659647	8.442905314595976	8.86056302203201
132.486694952517	-54.20948434233071	2.7043	0.0743	-11.967	0.142	9.737	0.143	nan	nan	16.921457	0.00250399069985002	18.566912	0.017811720853552357	15.660177	0.0037770749579130462	18.292363365849997	0.017368641551516555	nan	nan	nan	366.352242812933	9.788095282080008	10.330533541424984
134.140350795299	-54.248321277734405	2.6717	0.015	-12.853	0.027	9.325	0.027	nan	nan	13.541837	0.0018383641222502987	13.992254	0.0021022747729042912	12.947472	0.0022765353981187572	13.764049376020003	0.002050732119248012	nan	nan	nan	370.294235443356	2.054293269814025	2.076929756819993
132.329853249218	-55.0305433867074	3.1193	0.0134	-13.784	0.026	10.978	0.029	nan	nan	13.477808	0.0022098147292090088	13.96508	0.004852476331945733	12.842099	0.004018220516375309	13.734929002910002	0.004732755066592323	nan	nan	nan	317.638533299652	1.3536952134400053	1.3651247641419673
133.568686708212	-55.150567851352804	3.1069	0.076	-13.948	0.139	11.336	0.13	nan	nan	16.323185	0.0024727262190457023	17.871532	0.020598793851022593	15.103831	0.004598490793704648	17.60044392211	0.020086415972607147	nan	nan	nan	319.231950997947	7.621965704825016	7.99719765459696
131.341102715122	-55.022391364237194	3.1464	0.0496	-14.186	0.096	11.848	0.099	nan	nan	16.189987	0.0019891617444334334	17.401497	0.005877461283239512	15.09303	0.0025212818337872873	17.141839256369998	0.005731514834738557	nan	nan	nan	315.063043772078	4.890117123652999	5.043936866475008
134.137343196688	-55.4354272850138	2.9701	0.0231	-13.551	0.047	10.104	0.046	12.23	5.17	12.614621	0.002122451849485062	12.997802	0.004263109190211648	12.073864	0.0034726351662428085	12.772605183180001	0.004157898888059995	nan	nan	nan	333.469877672549	2.564839346092981	2.6041902585930075
133.361621765625	-55.74125753242551	3.1545	0.0383	-14.026	0.091	11.536	0.083	nan	nan	15.797696	0.002175656929310284	16.943205	0.006548436040089074	14.731932	0.0033868804141849477	16.68596641503	0.006386001895595347	nan	nan	nan	314.205234491483	3.762314265124985	3.852957275710992
133.657815377364	-55.917466919999505	3.1705	0.0401	-14.18	0.08	11.515	0.074	nan	nan	16.023914	0.0034862025699600716	17.23812	0.016219422734316737	14.923194	0.0073733667917982425	16.978301491859998	0.015816786052959848	nan	nan	nan	312.642621620506	3.8976345263880035	3.9954990748630053
135.96951264941004	-56.37872866741499	2.9199	0.1044	-13.381	0.239	9.396	0.201	nan	nan	17.771137	0.0030305788394623507	19.323431	0.035292672466468576	16.464773	0.0061139345093187145	19.05007900238	0.034414574299204886	nan	nan	nan	339.902258661776	11.74714103303296	12.60343354845702
135.412604692007	-54.919594924532504	3.1161	0.1296	-13.91	0.269	10.362	0.261	nan	nan	17.90393	0.002597203679650691	19.46157	0.027560172838250584	16.58032	0.005514955908822939	19.187655687499998	0.026874550698846783	nan	nan	nan	318.965447811197	12.779137921343988	13.87198772660497
136.848797858544	-54.2080619567099	2.8914	0.109	-13.864	0.228	9.486	0.208	nan	nan	17.687338	0.002248585480733123	19.31445	0.03760066207781313	16.4343	0.0044046169843991005	19.0405630665	0.03666494550136424	nan	nan	nan	343.300232953271	12.492983022917997	13.455650183688022
132.284733469248	-53.560355282542	2.7567	0.144	-13.683	0.27	9.5	0.279	nan	nan	18.019342	0.0024446568094712777	19.604197	0.07340970637492726	16.557997	0.017646679536075287	19.326177081999997	0.07158388630136513	nan	nan	nan	360.749167140157	18.274856245220008	20.298363751630006
132.718450920548	-53.378337889039	2.7092	0.1166	-13.24	0.226	9.763	0.22	nan	nan	17.51948	0.0023989099347755246	19.270384	0.03869215164924853	16.217213	0.006011455670478061	18.99219057381	0.03772940068332401	nan	nan	nan	366.421259726148	15.153341904625961	16.49467664523803
130.71414481553	-52.533934218549305	2.8406	0.121	-13.605	0.23	10.645	0.181	nan	nan	17.105621	0.003259135860177673	17.605942	0.06496197223044047	15.733422	0.020133230892778606	17.357134977199998	0.06334705084882651	nan	nan	nan	349.616625869677	14.31966622572304	15.573958088982977
128.784402710168	-52.516818164451294	3.0258	0.1049	-13.622	0.199	12.082	0.246	nan	nan	17.24528	0.002600589554648537	18.81376	0.029139596837255796	16.019161	0.004474853577336671	18.542002430889998	0.0284145305643881	nan	nan	nan	328.059729722096	11.00950369156999	11.787090675059005
129.302379913872	-51.57412361438881	3.1015	0.1205	-13.924	0.256	9.689	0.28	nan	nan	17.76076	0.0023436005911866404	19.390697	0.04419797900872855	16.477306	0.005265820971540135	19.115982698009997	0.04309809060553515	nan	nan	nan	320.310382945445	12.008549950622978	12.964117962882995
126.97853033192801	-51.5753861122919	2.8603	0.1166	-12.867	0.244	11.267	0.223	nan	nan	17.660337	0.0021947039804734035	19.205883	0.036052404243607006	16.420612	0.005265476646341312	18.93435760481	0.035155304192061615	nan	nan	nan	347.13705747758	13.628196665863015	14.768130026947972
