#CG	num	age	ageerr	Z	E(BP-RP)	E(BP-RP)err	rv	rverr	M	Merr
CG1	262	680	20	0.2	0.026281723533367232	0.005448826281401891	0.01958533968251697	1.00750324262392	183.64739099331794	0.4241972554472483
CG3	677	9	2	0.2	0.12837158133523027	0.009470135568738516	20.160097207720927	1.7141710260496172	332.72035078736974	0.7393676865841537
CG4	34	6	2	0.2	0.3559000000000003	0.03444988412944377	21.143495678211004	0.6041624190571403	19.88154029644269	0.209458505022942
CG14	432	7	2	0.1	0.08650026596093853	0.017057148864344996	20.94177310306215	1.7247915548392456	213.9188302191635	0.7611973024438928
CG17	308	35	10	0.2	0.031644640974103716	0.008198918949711455	19.20953874832329	1.1847941529998116	176.95092317596524	0.2912928243293352
CG22	104	7	1	0.2	0.22737777797232822	0.040941657123741204	22.48516914782458	0.6330185995893094	50.840139347695384	0.5960818690756878
CG30	23	2.5	2.0	0.2	-0.06630000000000102	0.23048268619864173	23.1	1.9	7.248101385908771	0.27774847007002756
GDC1	164	24	6	0.2	0.07066953194778182	0.006534753903021063	10.149414529091343	1.532211564692421	89.27172320387285	0.2600950124317647
