#fluxes 	 0 	 1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	 16 	 17 	 18 	 19 	 20 	 21 	 22 	 23 	 24 	 25 	 26 	 27 	 28 	 29 	 30 	 31 	 32 	 33 	 34 	 35 	 36 	 37 	 38 	 39 	 40 	 41 	 42 	 43 	 44 	 45 	 46 	 47 	 48 	 49 	 50 	 51 	 52 	 53 	 54 	 55 	 56 	 57 	 58 	 59 	 60 	 61
f 	 23702.015869140625 	 24839.685546875 	 26981.855224609375 	 29195.680419921875 	 30486.09033203125 	 32941.45642089844 	 35084.38488769531 	 36720.77734375 	 38800.67041015625 	 40038.384765625 	 42321.082275390625 	 45874.132080078125 	 48008.53991699219 	 50589.08605957031 	 52848.25390625 	 55620.845703125 	 56383.42614746094 	 59449.48132324219 	 61716.57360839844 	 8224.372756958008 	 8487.019927978516 	 68423.39819335938 	 69388.84313964844 	 72297.53308105469 	 73288.18322753906 	 74905.78527832031 	 76035.41381835938 	 76776.78076171875 	 77972.46484375 	 79522.44885253906 	 78494.80029296875 	 80206.99401855469 	 80701.962890625 	 81363.28466796875 	 81202.93243408203 	 79189.32357788086 	 81745.50830078125 	 82285.51831054688 	 80105.18437194824 	 24953.111282348633 	 80961.58346557617 	 80564.48693847656 	 78807.96337890625 	 50872.9658203125 	 74030.74011230469 	 71078.57598543167 	 68132.03951644897 	 66045.8642578125 	 56803.29928588867 	 57326.22911071777 	 52287.4359703064 	 8300.93896484375 	 42920.065086364746 	 39291.7413520813 	 35369.2063293457 	 28069.951217651367 	 20311.13949584961 	 20562.320205688477 	 16910.11587524414 	 16918.689056396484 	 11010.131408691406 	 9926.995601654053
f 	 23959.685546875 	 25117.877197265625 	 27266.510986328125 	 29489.469604492188 	 30814.152099609375 	 33265.38513183594 	 35414.35461425781 	 37064.27490234375 	 39157.41589355469 	 39523.78466796875 	 42728.12683105469 	 46272.923583984375 	 48422.25 	 51001.4375 	 53283.21911621094 	 56056.43249511719 	 56853.47985839844 	 59919.292724609375 	 62199.93420410156 	 8282.075241088867 	 8545.809646606445 	 68909.04077148438 	 69889.0224609375 	 72765.38684082031 	 73773.46716308594 	 75395.322265625 	 76508.44604492188 	 77244.80090332031 	 78435.23071289062 	 79950.2822265625 	 78984.64786529541 	 80646.07995605469 	 81134.62994384766 	 81788.89471435547 	 81625.27941894531 	 79713.55581665039 	 82149.70379638672 	 82673.52313232422 	 80506.3122253418 	 25063.873054504395 	 81331.7587890625 	 80932.92553710938 	 79176.83729553223 	 51246.407958984375 	 74273.24291992188 	 71384.75645923615 	 68412.04285049438 	 66221.37854003906 	 57031.938385009766 	 57505.388092041016 	 52470.407733917236 	 9101.634765625 	 43054.25392150879 	 39401.575035095215 	 35427.66909790039 	 28199.965423583984 	 20426.838165283203 	 20618.131477355957 	 17006.700958251953 	 16893.92416381836 	 11046.071716308594 	 9935.253128051758
f 	 24217.795043945312 	 25398.40234375 	 27555.652709960938 	 29785.829345703125 	 31144.34033203125 	 33589.54089355469 	 35746.774658203125 	 37410.24182128906 	 39516.291748046875 	 39023.919921875 	 43137.04577636719 	 46676.56286621094 	 48840.73107910156 	 51413.268310546875 	 53720.043701171875 	 56496.64172363281 	 57324.95837402344 	 60393.58239746094 	 62684.64782714844 	 8340.00634765625 	 8604.460876464844 	 69395.83862304688 	 70389.91687011719 	 73234.41821289062 	 74256.71215820312 	 75882.58386230469 	 76982.13989257812 	 77710.69934082031 	 78901.05163574219 	 80381.52941894531 	 79476.42063903809 	 81085.4146118164 	 81567.53515625 	 82212.40161132812 	 82045.43041992188 	 80233.04666137695 	 82551.75024414062 	 83061.490234375 	 80906.84132385254 	 25174.380004882812 	 81703.41918945312 	 81300.8840637207 	 79543.17710876465 	 51621.075439453125 	 74515.45886230469 	 71688.7037858963 	 68691.25746536255 	 66395.77734375 	 57260.46920776367 	 57685.10041809082 	 52653.578090667725 	 9890.91748046875 	 43188.13586425781 	 39511.00645828247 	 35486.584411621094 	 28329.202713012695 	 20541.66241455078 	 20674.322204589844 	 17101.658081054688 	 16870.121002197266 	 11081.992553710938 	 9943.468635559082
f 	 24480.096557617188 	 25681.245361328125 	 27847.22314453125 	 30086.869140625 	 31478.987915039062 	 33918.438232421875 	 36079.309326171875 	 37758.658447265625 	 39879.74450683594 	 38535.2451171875 	 43547.82360839844 	 47079.71960449219 	 49258.49572753906 	 51829.941650390625 	 54158.71032714844 	 56935.84729003906 	 57797.84619140625 	 60866.40563964844 	 63170.6982421875 	 8397.806411743164 	 8663.32698059082 	 69880.83459472656 	 70894.52014160156 	 73704.61218261719 	 74743.59057617188 	 76370.38659667969 	 77456.48327636719 	 78179.78942871094 	 79364.68286132812 	 80811.38293457031 	 79964.71318054199 	 81527.39178466797 	 82003.01123046875 	 82636.06103515625 	 82465.60052490234 	 80750.53674316406 	 82955.8070678711 	 83447.43389892578 	 81306.76943969727 	 25285.1834564209 	 82074.72665405273 	 81668.3586730957 	 79910.52066040039 	 51996.945068359375 	 74759.65979003906 	 71991.83724164963 	 68969.68298721313 	 66569.06872558594 	 57487.8671875 	 57864.57080078125 	 52836.14709854126 	 10665.54052734375 	 43321.70991516113 	 39620.03618621826 	 35545.70782470703 	 28457.66552734375 	 20655.162200927734 	 20730.006507873535 	 17196.474700927734 	 16846.90853881836 	 11118.435119628906 	 9951.7643699646
f 	 24744.698364257812 	 25966.389404296875 	 28141.205444335938 	 30388.330688476562 	 31813.397705078125 	 34247.49035644531 	 36416.55712890625 	 38109.50549316406 	 40242.84484863281 	 38054.51611328125 	 43957.686279296875 	 47485.02404785156 	 49678.25329589844 	 52248.75305175781 	 54602.04931640625 	 57379.66369628906 	 58272.127197265625 	 61343.693359375 	 63658.06921386719 	 8456.186645507812 	 8722.766555786133 	 70369.89184570312 	 71396.81372070312 	 74175.95385742188 	 75231.24853515625 	 76858.71911621094 	 77931.46459960938 	 78649.39929199219 	 79831.35321044922 	 81244.62756347656 	 80454.91960144043 	 81967.19836425781 	 82436.3667602539 	 83059.86450195312 	 82888.00567626953 	 81268.7248840332 	 83357.7021484375 	 83835.30590820312 	 81706.09451293945 	 25395.181533813477 	 82443.85037231445 	 82035.345703125 	 80275.33415222168 	 52373.991943359375 	 75004.69348144531 	 72294.15670585632 	 69247.31899261475 	 66740.48474121094 	 57716.1669921875 	 58043.008377075195 	 53017.32524108887 	 11432.2578125 	 43454.97504425049 	 39729.11845779419 	 35604.79153442383 	 28585.35614013672 	 20768.253509521484 	 20786.06723022461 	 17290.409393310547 	 16824.63638305664 	 11154.848449707031 	 9960.017044067383
f 	 25009.642456054688 	 26251.742065429688 	 28437.581909179688 	 30692.3056640625 	 32149.887084960938 	 34581.28039550781 	 36756.19970703125 	 38462.76330566406 	 40608.02331542969 	 37585.02001953125 	 44372.119873046875 	 47892.45593261719 	 50102.766845703125 	 52669.6826171875 	 55044.35852050781 	 57825.26220703125 	 58747.78564453125 	 61822.45947265625 	 64146.74462890625 	 8514.788589477539 	 8782.056777954102 	 70860.05920410156 	 71899.78674316406 	 74648.42724609375 	 75716.81567382812 	 77350.41430664062 	 78407.07104492188 	 79119.51782226562 	 80298.43322753906 	 81676.43383789062 	 80941.65162658691 	 82407.22668457031 	 82869.93298339844 	 83486.07135009766 	 83308.19262695312 	 81782.21810913086 	 83761.59344482422 	 84223.12042236328 	 82104.81434631348 	 25504.926803588867 	 82814.44027709961 	 82401.8412475586 	 80641.140625 	 52752.193115234375 	 75249.39074707031 	 72597.06250572205 	 69524.16509246826 	 66911.59161376953 	 57944.34362792969 	 58221.990325927734 	 53198.695209503174 	 12187.77685546875 	 43587.93027496338 	 39837.344871520996 	 35664.320556640625 	 28712.276947021484 	 20880.035675048828 	 20842.06118774414 	 17382.747772216797 	 16802.957061767578 	 11191.781311035156 	 9968.349452972412
f 	 25278.781127929688 	 26541.42333984375 	 28736.335693359375 	 30998.775756835938 	 32490.83154296875 	 34915.15319824219 	 37098.217529296875 	 38818.41259765625 	 40975.26306152344 	 37129.73828125 	 44788.363037109375 	 48301.997314453125 	 50526.46862792969 	 53092.71142578125 	 55488.45690917969 	 58269.77062988281 	 59224.80578613281 	 62299.68151855469 	 64636.709228515625 	 8573.61003112793 	 8841.555084228516 	 71351.32104492188 	 72406.44580078125 	 75122.01733398438 	 76205.99096679688 	 77839.77624511719 	 78883.29052734375 	 79590.13366699219 	 80763.28527832031 	 82111.60815429688 	 81427.60354614258 	 82849.87420654297 	 83303.70123291016 	 83910.1392211914 	 83728.37683105469 	 82296.3984375 	 84165.39172363281 	 84610.87084960938 	 82502.92672729492 	 25614.966796875 	 83184.66375732422 	 82767.84185791016 	 81004.42106628418 	 53131.523681640625 	 75496.04870605469 	 72897.74983930588 	 69800.22087860107 	 67081.61645507812 	 58171.373962402344 	 58399.9377746582 	 53379.46489715576 	 12932.171875 	 43720.01316070557 	 39945.17134094238 	 35723.801818847656 	 28838.430297851562 	 20991.41064453125 	 20897.547248840332 	 17474.936492919922 	 16782.196746826172 	 11228.675170898438 	 9976.637756347656
f 	 25550.172485351562 	 26833.3564453125 	 29037.448852539062 	 31307.7216796875 	 32831.4462890625 	 35253.759765625 	 37440.208740234375 	 39176.43310546875 	 41347.06652832031 	 36682.46533203125 	 45206.3994140625 	 48713.62890625 	 50954.91540527344 	 53517.819091796875 	 55934.32751464844 	 58718.86962890625 	 59703.17236328125 	 62781.34558105469 	 65131.00109863281 	 8632.648651123047 	 8901.623779296875 	 71840.69348144531 	 72910.74694824219 	 75596.70947265625 	 76695.90783691406 	 78332.48400878906 	 79360.11145019531 	 80061.23486328125 	 81231.15130615234 	 82545.29907226562 	 81915.4522857666 	 83290.32019042969 	 83740.00842285156 	 84334.3265991211 	 84150.77410888672 	 82805.91473388672 	 84567.00952148438 	 84998.5503540039 	 82900.4295501709 	 25724.207237243652 	 83552.69519042969 	 83133.34338378906 	 81368.68371582031 	 53511.960693359375 	 75743.501953125 	 73197.6228222847 	 70075.48594665527 	 67250.56719970703 	 58399.289611816406 	 58578.42361450195 	 53558.852600097656 	 13662.39208984375 	 43852.34683227539 	 40052.59844207764 	 35783.723541259766 	 28963.818466186523 	 21101.932006835938 	 20953.40512084961 	 17565.550079345703 	 16762.031280517578 	 11266.085968017578 	 9985.00528717041
f 	 25823.802001953125 	 27127.525268554688 	 29340.903930664062 	 31619.125244140625 	 33174.092529296875 	 35592.37780761719 	 37786.90539550781 	 39536.80603027344 	 41718.39050292969 	 36249.14892578125 	 45626.21301269531 	 49127.33142089844 	 51382.487548828125 	 53944.9853515625 	 56384.845947265625 	 59169.697509765625 	 60182.86853027344 	 63261.41455078125 	 65623.50219726562 	 8691.537948608398 	 8961.532470703125 	 72334.09240722656 	 73415.69262695312 	 76072.48864746094 	 77183.68176269531 	 78822.83056640625 	 79837.521484375 	 80532.81115722656 	 81699.3955078125 	 82982.33532714844 	 82399.83554077148 	 83730.96118164062 	 84174.15411376953 	 84760.89447021484 	 84570.9312133789 	 83316.10723876953 	 84970.60180664062 	 85384.17510986328 	 83297.3207244873 	 25833.196922302246 	 83922.17391967773 	 83498.34246826172 	 81732.17002868652 	 53893.478759765625 	 75990.57080078125 	 73498.07040262222 	 70349.95989990234 	 67418.45245361328 	 58627.066986083984 	 58756.657958984375 	 53738.42538070679 	 14384.8037109375 	 43984.36756134033 	 40160.07374572754 	 35843.589294433594 	 29088.443893432617 	 21211.166748046875 	 21009.19317626953 	 17656.00799560547 	 16742.763671875 	 11303.448120117188 	 9993.38985824585
f 	 26097.645874023438 	 27423.91357421875 	 29646.684204101562 	 31932.967407226562 	 33521.18908691406 	 35935.724853515625 	 38135.92077636719 	 39899.51171875 	 42091.723388671875 	 35823.88134765625 	 46047.78759765625 	 49545.84716796875 	 51814.79345703125 	 54371.39831542969 	 56834.21838378906 	 59622.2373046875 	 60663.87951660156 	 63745.91015625 	 66117.24365234375 	 8751.002685546875 	 9021.642333984375 	 72828.54040527344 	 73924.30041503906 	 76549.33874511719 	 77675.03857421875 	 79313.65112304688 	 80318.2568359375 	 81002.1669921875 	 82165.37353515625 	 83417.84460449219 	 82886.1042175293 	 84174.19738769531 	 84608.47442626953 	 85185.29663085938 	 84991.06365966797 	 83821.66659545898 	 85374.08093261719 	 85771.69372558594 	 83693.59790039062 	 25942.479553222656 	 84291.27255249023 	 83862.8349609375 	 82093.13639831543 	 54277.8798828125 	 76239.57421875 	 73796.3105340004 	 70623.64233398438 	 67585.28039550781 	 58854.70098876953 	 58933.85542297363 	 53917.39893722534 	 15096.3076171875 	 44116.0743560791 	 40266.70219039917 	 35903.89065551758 	 29212.308868408203 	 21319.99658203125 	 21064.471923828125 	 17744.91162109375 	 16724.092712402344 	 11341.324768066406 	 10001.728797912598
